scope,group,system,N,nDCG@5,nDCG@10,P@5,P@10,MRR,FHR,hit_rate,avgRating
overall,all,archrag,770,0.6700267483199558,0.8016865102657461,0.6119480519480519,0.5575324675324675,0.7878983714698,1.603896103896104,0.948051948051948,3.4489610389610386
overall,all,archrag_rerank,768,0.7061849536070014,0.8295591016062871,0.6307291666666667,0.5710937500000001,0.8206276868386243,1.4869791666666667,0.9635416666666666,3.4983072916666664
overall,all,pylucene_rerank_gpt,748,0.6676166223764476,0.812523071645252,0.598663101604278,0.5602559205500381,0.7946661998132587,1.5802139037433156,0.9719251336898396,3.449933155080214
project,Apache Tika,archrag,273,0.7306003793834732,0.8598884697944305,0.6673992673992675,0.6043956043956044,0.8557227164370022,1.4395604395604396,0.9816849816849816,3.5904761904761906
project,Apache Tika,archrag_rerank,245,0.7263291188245663,0.8570825991051622,0.6865306122448979,0.6416326530612244,0.8529413670229997,1.457142857142857,0.9836734693877551,3.6563265306122448
project,Apache Tika,pylucene_rerank_gpt,181,0.7315320010354878,0.8624121679256082,0.6784530386740332,0.6397790055248619,0.8442054722441462,1.425414364640884,0.988950276243094,3.6889502762430944
project,Apache jclouds,archrag,179,0.6532968108845326,0.7909279441791285,0.582122905027933,0.5229050279329609,0.7784871863084154,1.6927374301675977,0.9553072625698324,3.386033519553073
project,Apache jclouds,archrag_rerank,133,0.6685473303396524,0.8072891834532758,0.5654135338345865,0.5090225563909775,0.7986394557823129,1.5714285714285714,0.9624060150375939,3.316541353383459
project,Apache jclouds,pylucene_rerank_gpt,125,0.585323104165653,0.7714543094327581,0.5096,0.4821714285714286,0.7454095238095237,1.8,0.976,3.2596
project,Apache YARN,archrag,114,0.6448829869911191,0.816004428728366,0.6140350877192983,0.5771929824561404,0.7905179615705932,1.7280701754385965,0.9824561403508771,3.549122807017544
project,Apache YARN,archrag_rerank,122,0.6872587784377916,0.8094533007738045,0.5573770491803278,0.45245901639344266,0.7967993754879001,1.4426229508196722,0.9590163934426229,3.2491803278688525
project,Apache YARN,pylucene_rerank_gpt,156,0.6462782592588512,0.7816431307663305,0.5423076923076924,0.5051282051282051,0.773468660968661,1.5192307692307692,0.9358974358974359,3.246794871794872
project,Apache MapReduce,archrag,72,0.48383133829366326,0.6044870642235852,0.43333333333333335,0.3888888888888889,0.5247685185185185,2.4166666666666665,0.8472222222222222,2.888888888888889
project,Apache MapReduce,archrag_rerank,127,0.7321250902116744,0.8393599626544411,0.6692913385826772,0.6133858267716535,0.8324803149606299,1.3543307086614174,0.952755905511811,3.64251968503937
project,Apache MapReduce,pylucene_rerank_gpt,136,0.6774508189223531,0.8221114754392088,0.6110294117647059,0.5544117647058824,0.8103845704948646,1.6102941176470589,0.9779411764705882,3.4382352941176473
project,Apache Lucene,archrag,132,0.6907124743349627,0.7911014026026453,0.6333333333333333,0.5825757575757576,0.8016504329004328,1.2727272727272727,0.8939393939393939,3.460606060606061
project,Apache Lucene,archrag_rerank,141,0.6996961552956833,0.8113097439862409,0.624113475177305,0.5716312056737588,0.79516210739615,1.6170212765957446,0.9432624113475178,3.480851063829787
project,Apache Lucene,pylucene_rerank_gpt,150,0.6723455567442138,0.8099691830515913,0.6240000000000001,0.592,0.7837301587301587,1.62,0.98,3.542
question,question1,archrag,255,0.6525990691334401,0.794030420118813,0.5968627450980392,0.5364705882352941,0.7736072206660441,1.6901960784313725,0.9568627450980393,3.411764705882353
question,question1,archrag_rerank,253,0.6893425830647593,0.8166484963603777,0.6181818181818182,0.558102766798419,0.8012955643390426,1.5454545454545454,0.9683794466403162,3.468774703557312
question,question1,pylucene_rerank_gpt,250,0.6786007846538696,0.8190006762927786,0.6023999999999999,0.5584,0.8155539682539683,1.584,0.98,3.4586
question,question2,archrag,255,0.7018412158459603,0.8291836254003419,0.6447058823529412,0.5866666666666667,0.8191830065359478,1.615686274509804,0.9725490196078431,3.5164705882352942
question,question2,archrag_rerank,257,0.7223812873947725,0.8432399668742757,0.6536964980544747,0.5848249027237354,0.8360894941634242,1.4747081712062258,0.9688715953307393,3.5361867704280154
question,question2,pylucene_rerank_gpt,248,0.6768398764267195,0.822691057660439,0.6258064516129033,0.5879032258064517,0.7977022529441884,1.5685483870967742,0.9758064516129032,3.545564516129032
question,question3,archrag,260,0.6559166289869957,0.7822270434509233,0.5946153846153845,0.5496153846153846,0.7712316849816849,1.5076923076923077,0.9153846153846154,3.419230769230769
question,question3,archrag_rerank,258,0.7065673643191335,0.8285916626657523,0.6201550387596899,0.5701550387596899,0.8241832779623477,1.441860465116279,0.9534883720930233,3.48953488372093
question,question3,pylucene_rerank_gpt,250,0.6474829920811558,0.7959588248706597,0.568,0.5346857142857143,0.7707666666666666,1.588,0.96,3.3464
